Downloaded from https://mol.org on Oct 3, 2021. Inclusive species list based on approximate intersections with Political boundary polygon for the Mexico region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Herpetotheres cachinnans","Laughing Falcon","Falconidae","Birds"
"Tachycineta albilinea","Mangrove Swallow","Hirundinidae","Birds"
"Sula dactylatra","Masked Booby","Sulidae","Birds"
"Vireo philadelphicus","Philadelphia Vireo","Vireonidae","Birds"
"Crypturellus cinnamomeus","Thicket Tinamou","Tinamidae","Birds"
"Euphonia gouldi","Olive-Backed Euphonia","Thraupidae","Birds"
"Catharus minimus","Grey-Cheeked Thrush","Turdidae","Birds"
"Amazilia candida","White-Bellied Emerald","Trochilidae","Birds"
"Salpinctes obsoletus","Rock Wren","Troglodytidae","Birds"
"Aimophila ruficauda","Stripe-Headed Sparrow","Emberizidae","Birds"
"Ptilogonys cinereus","Grey Silky-Flycatcher","Bombycillidae","Birds"
"Oceanodroma furcata","Fork-Tailed Storm-Petrel","Hydrobatidae","Birds"
"Campephilus imperialis","Imperial Woodpecker","Picidae","Birds"
"Vermivora cyanoptera","Blue-Winged Swamp Warbler","Parulidae","Birds"
"Psilorhinus morio","Brown Jay","Corvidae","Birds"
"Myiarchus nuttingi","Nutting's Flycatcher","Tyrannidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Abeillia abeillei","Emerald-Chinned Hummingbird","Trochilidae","Birds"
"Aix sponsa","Wood Duck","Anatidae","Birds"
"Pluvialis dominica","American Golden-Plover","Charadriidae","Birds"
"Hylorchilus navai","Nava's Wren","Troglodytidae","Birds"
"Dumetella carolinensis","Gray Catbird","Mimidae","Birds"
"Icterus wagleri","Black-Vented Oriole","Icteridae","Birds"
"Molothrus oryzivorus","Giant Cowbird","Icteridae","Birds"
"Oreophasis derbianus","Horned Guan","Cracidae","Birds"
"Passerina rositae","Rose-Bellied Bunting","Emberizidae","Birds"
"Parus gambeli","Mountain Chickadee","Paridae","Birds"
"Leptotila verreauxi","White-Fronted Dove","Columbidae","Birds"
"Vireo olivaceus","Red-Eyed Vireo","Vireonidae","Birds"
"Dendrocincla anabatina","Tawny-Winged Woodcreeper","Furnariidae","Birds"
"Callipepla californica","California Quail","Odontophoridae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Euphonia hirundinacea","Yellow-Throated Euphonia","Thraupidae","Birds"
"Nyctibius jamaicensis","Northern Potoo","Nyctibiidae","Birds"
"Oporornis formosus","Kentucky Warbler","Parulidae","Birds"
"Lepidocolaptes souleyetii","Streak-Headed Woodcreeper","Dendrocolaptidae","Birds"
"Limnothlypis swainsonii","Swainson's Warbler","Parulidae","Birds"
"Parkesia noveboracensis","Northern Waterthrush","Parulidae","Birds"
"Dactylortyx thoracicus","Singing Quail","Odontophoridae","Birds"
"Oreoscoptes montanus","Sage Thrasher","Mimidae","Birds"
"Vireo vicinior","Grey Vireo","Vireonidae","Birds"
"Calidris alba","Sanderling","Scolopacidae","Birds"
"Aimophila mystacalis","Bridled Sparrow","Emberizidae","Birds"
"Saltator maximus","Buff-Throated Saltator","Cardinalidae","Birds"
"Pipilo chlorurus","Green-Tailed Towhee","Emberizidae","Birds"
"Contopus pertinax","Greater Pewee","Tyrannidae","Birds"
"Clangula hyemalis","Long-Tailed Duck","Anatidae","Birds"
"Laterallus jamaicensis","Black Rail","Rallidae","Birds"
